"p","r_quantile"
-0.708,0.291972151729035
-0.707,0.299032903322549
-0.706,0.310043657994011
-0.705,0.296115169143718
-0.704,0.289029330098199
-0.703,0.298967572261724
-0.702,0.336741766385936
-0.701,0.274561138681667
-0.7,0.310508149387002
-0.699,0.314672831699933
-0.698,0.339477522037533
-0.697,0.323104035432619
-0.696,0.305023884797005
-0.695,0.336175074963818
-0.694,0.289997214708662
-0.693,0.33206029136541
-0.692,0.312662614579311
-0.691,0.312328895904123
-0.69,0.311705210330486
-0.689,0.382648932128845
-0.688,0.336297636375551
-0.687,0.345818744622531
-0.686,0.345503037641223
-0.685,0.337316861684283
-0.684,0.366604980126951
-0.683,0.341624472198148
-0.682,0.333755576469946
-0.681,0.352601598480593
-0.68,0.37149262375391
-0.679,0.371730869987879
-0.678,0.350177311559384
-0.677,0.371056236242948
-0.676,0.377201160552894
-0.675,0.356008396335122
-0.674,0.362060177069742
-0.673,0.375906827895254
-0.672,0.400343725925227
-0.671,0.365754714887014
-0.67,0.381907836473755
-0.669,0.377076098324083
-0.668,0.347936552054438
-0.667,0.42256090390747
-0.666,0.379665580899089
-0.665,0.380158814300596
-0.664,0.387446495594028
-0.663,0.400765714769297
-0.662,0.378243206464329
-0.661,0.385086153893929
-0.66,0.412131263520193
-0.659,0.393722862633779
-0.658,0.406895892624146
-0.657,0.3944591406168
-0.656,0.405928115984949
-0.655,0.431090790981776
-0.654,0.407430079458848
-0.653,0.397551498723673
-0.652,0.399373978340705
-0.651,0.395766349463213
-0.65,0.375299637925073
-0.649,0.391812012667078
-0.648,0.426419048565116
-0.647,0.437598688779412
-0.646,0.38797857461852
-0.645,0.420894300108086
-0.644,0.432058026557383
-0.643,0.408109291455705
-0.642,0.43122916686443
-0.641,0.409437326241093
-0.64,0.404829603152533
-0.639,0.427788016110423
-0.638,0.423039410861732
-0.637,0.478860530961602
-0.636,0.458094351149177
-0.635,0.446463798541193
-0.634,0.452957338841451
-0.633,0.412430627765881
-0.632,0.414292272022819
-0.631,0.456947990178006
-0.63,0.475310666907873
-0.629,0.458801512983285
-0.628,0.433625919497213
-0.627,0.485068916584572
-0.626,0.467592088535938
-0.625,0.482476615648941
-0.624,0.473758325915259
-0.623,0.482488365873332
-0.622,0.481617463857349
-0.621,0.462071612947398
-0.62,0.457305175395999
-0.619,0.470076572855775
-0.618,0.511680623247685
-0.617,0.433387491632544
-0.616,0.478534039543456
-0.615,0.494081846583133
-0.614,0.470357064633246
-0.613,0.463335396777209
-0.612,0.487759067027149
-0.611,0.464858637403583
-0.61,0.521988052549958
-0.609,0.532180720221263
-0.608,0.499630771252895
-0.607,0.490202803555604
-0.606,0.495042171369354
-0.605,0.480512941161823
-0.604,0.492055696166021
-0.603,0.519297496881944
-0.602,0.49311681624393
-0.601,0.481694518998501
-0.6,0.491025265230185
-0.599,0.468082264369068
-0.598,0.490875081360867
-0.597,0.500786780795407
-0.596,0.520016253695769
